,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
95,스타벅스,서강대흥역점,음식,커피점/카페,서울특별시,마포구,대흥동,37.5482545237074,126.94155205656
96,스타벅스올림픽공원남문점,올림픽공원남문점,음식,커피점/카페,서울특별시,송파구,방이1동,37.5133299197545,127.122996982138
97,스타벅스,삼성서울병원점,음식,커피점/카페,서울특별시,강남구,일원본동,37.4903343408695,127.089578831632
98,스타벅스,랜드마크점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4906588834388,127.031801329315
99,스타벅스,KBS동문점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5263141620611,126.917696594815
100,스타벅스,서교동사거리점,음식,커피점/카페,서울특별시,마포구,서교동,37.5534073725796,126.918561136612
101,스타벅스,목동역점,음식,커피점/카페,서울특별시,양천구,신정4동,37.5266998936168,126.863793615607
102,스타벅스코엑스사거리점,코엑스사거리점,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5152437173541,127.060193379989
103,스타벅스,양재역점,음식,커피점/카페,서울특별시,서초구,양재1동,37.4823203167867,127.036850060857
104,스타벅스신압구정점,신압구정점,음식,커피점/카페,서울특별시,강남구,압구정동,37.5281084112342,127.036420025086
105,스타벅스명동중앙로,,음식,커피점/카페,서울특별시,중구,명동,37.5637618569889,126.985737720211
106,스타벅스,제일은행본점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5711128646326,126.982423077525
107,스타벅스,서울숲역점,음식,커피점/카페,서울특별시,성동구,성수1가1동,37.541882183363,127.044888139937
108,스타벅스,경복궁역점,음식,커피점/카페,서울특별시,종로구,사직동,37.5771730114202,126.972615705273
109,스타벅스,묵동점,음식,커피점/카페,서울특별시,중랑구,묵1동,37.6153285055786,127.076865894012
110,스타벅스,역삼이마트점,음식,커피점/카페,서울특별시,강남구,역삼2동,37.4992276933378,127.048406096675
111,스타벅스,방배로점,음식,커피점/카페,서울특별시,서초구,방배3동,37.4793421199888,126.999418708672
112,스타벅스,강동암사DT점,음식,커피점/카페,서울특별시,강동구,암사3동,37.5551006269805,127.13000020369
113,스타벅스,서울역동자동점,음식,커피점/카페,서울특별시,용산구,남영동,37.5516670854519,126.972909348137
